player,id,position,team,ecr,sd,best,worst,bye,scrape_date,espn_id,sleeper_id,yahoo_id,gsis_id,espn_adp,adp_gap
Ja'Marr Chase,19788,WR,CIN,1.51,0.98,1,6,6.0,2026-08-21,4362628.0,7564.0,33393.0,00-0036900,4.03,2.5200000000000005
Jahmyr Gibbs,22968,RB,DET,2.93,1.6,1,7,6.0,2026-08-21,4429795.0,9221.0,40059.0,00-0039139,1.48,-1.4500000000000002
Puka Nacua,23180,WR,LAR,3.47,1.55,1,9,11.0,2026-08-21,4426515.0,9493.0,40168.0,00-0039075,4.84,1.3699999999999997
Bijan Robinson,23133,RB,ATL,3.71,1.48,1,5,11.0,2026-08-21,4430807.0,9509.0,40055.0,00-0038542,2.54,-1.17
Jaxon Smith-Njigba,23070,WR,SEA,4.77,1.5,1,11,11.0,2026-08-21,4430878.0,9488.0,40041.0,00-0038543,5.8,1.0300000000000002
Amon-Ra St. Brown,19799,WR,DET,5.46,1.37,3,9,6.0,2026-08-21,4374302.0,7547.0,33500.0,00-0036963,8.33,2.87
CeeDee Lamb,19202,WR,DAL,8.84,2.32,4,18,14.0,2026-08-21,4241389.0,6786.0,32687.0,00-0036358,10.66,1.8200000000000003
Justin Jefferson,19236,WR,MIN,9.2,2.35,3,19,6.0,2026-08-21,4262921.0,6794.0,32692.0,00-0036322,12.15,2.950000000000001
Christian McCaffrey,16393,RB,SF,10.22,5.06,5,31,8.0,2026-08-21,3117251.0,4034.0,30121.0,00-0033280,6.92,-3.3000000000000007
Drake London,23163,WR,ATL,12.25,3.04,8,26,11.0,2026-08-21,4426502.0,8112.0,33963.0,00-0037238,18.75,6.5
Jonathan Taylor,19217,RB,IND,12.69,6.26,7,33,13.0,2026-08-21,4242335.0,6813.0,32711.0,00-0036223,7.89,-4.8
A.J. Brown,18218,WR,NE,13.97,4.71,6,35,11.0,2026-08-21,4047646.0,5859.0,31883.0,00-0035676,27.15,13.179999999999998
Ashton Jeanty,25989,RB,LV,16.62,5.62,7,34,13.0,2026-08-21,4890973.0,12527.0,,00-0040122,16.52,-0.10000000000000142
Nico Collins,20130,WR,HOU,16.76,3.86,11,29,8.0,2026-08-21,4258173.0,7569.0,33477.0,00-0036554,27.44,10.68
James Cook III,22958,RB,BUF,17.7,7.39,7,34,7.0,2026-08-21,4379399.0,8138.0,34019.0,00-0037248,12.72,-4.979999999999999
Chase Brown,25324,RB,CIN,17.93,5.95,7,39,6.0,2026-08-21,4362238.0,9224.0,40196.0,00-0038597,23.42,5.490000000000002
Brock Bowers,22955,TE,LV,17.94,3.38,10,32,13.0,2026-08-21,4432665.0,11604.0,40878.0,00-0039338,23.98,6.039999999999999
Chris Olave,20111,WR,NO,19.07,6.15,11,36,8.0,2026-08-21,4361370.0,8144.0,33966.0,00-0037239,33.36,14.29
George Pickens,22963,WR,DAL,20.11,6.13,11,40,14.0,2026-08-21,4426354.0,8137.0,34007.0,00-0037247,30.14,10.030000000000001
Trey McBride,22936,TE,ARI,20.93,4.25,16,33,14.0,2026-08-21,4361307.0,8130.0,34010.0,00-0037744,20.1,-0.8299999999999983
De'Von Achane,23136,RB,MIA,22.2,7.58,5,39,6.0,2026-08-21,4429160.0,9226.0,40118.0,00-0039040,12.04,-10.16
Rashee Rice,23113,WR,KC,22.39,8.69,11,45,5.0,2026-08-21,4428331.0,10229.0,40084.0,00-0039067,22.27,-0.120000000000001
DeVonta Smith,19222,WR,PHI,23.92,7.45,11,45,10.0,2026-08-21,4241478.0,7525.0,33398.0,00-0036912,40.12,16.199999999999996
Malik Nabers,25409,WR,NYG,24.86,9.72,9,48,8.0,2026-08-21,4595348.0,11632.0,40899.0,00-0039337,35.24,10.380000000000003
Saquon Barkley,17240,RB,PHI,25.26,6.88,7,41,10.0,2026-08-21,3929630.0,4866.0,30972.0,00-0034844,16.05,-9.21
Omarion Hampton,25395,RB,LAC,25.71,7.03,10,39,7.0,2026-08-21,4685382.0,12507.0,,00-0040666,27.63,1.9199999999999982
Josh Allen,17298,QB,BUF,25.9,2.75,21,37,7.0,2026-08-21,3918298.0,4984.0,30977.0,00-0034857,22.06,-3.84
Kenneth Walker III,23021,RB,KC,28.07,8.6,13,56,5.0,2026-08-21,4567048.0,8151.0,33996.0,00-0038134,22.93,-5.140000000000001
Zay Flowers,22916,WR,BAL,29.86,7.97,14,48,13.0,2026-08-21,4429615.0,9997.0,40039.0,00-0039064,41.57,11.71
Garrett Wilson,23072,WR,NYJ,30.01,7.07,14,45,13.0,2026-08-21,4569618.0,8146.0,33965.0,00-0037740,36.31,6.300000000000001
Lamar Jackson,17233,QB,BAL,33.52,10.92,25,70,13.0,2026-08-21,3916387.0,4881.0,31002.0,00-0034796,38.6,5.079999999999998
Tetairoa McMillan,25417,WR,CAR,33.99,7.09,18,51,5.0,2026-08-21,4685472.0,12526.0,,00-0040124,42.32,8.329999999999998
Ladd McConkey,26122,WR,LAC,36.1,7.27,15,51,7.0,2026-08-21,4612826.0,11635.0,40908.0,00-0039915,52.09,15.990000000000002
Jaylen Waddle,19790,WR,DEN,36.15,6.87,19,51,10.0,2026-08-21,4372016.0,7526.0,33394.0,00-0036613,59.54,23.39
Tee Higgins,19211,WR,CIN,36.36,6.96,19,51,6.0,2026-08-21,4239993.0,6801.0,32703.0,00-0036410,57.26,20.9
Colston Loveland,26006,TE,CHI,38.13,13.38,22,87,10.0,2026-08-21,4723086.0,12517.0,,00-0040126,45.16,7.029999999999994
Derrick Henry,15514,RB,BAL,38.26,8.37,14,50,13.0,2026-08-21,3043078.0,3198.0,29279.0,00-0032764,19.44,-18.819999999999997
Drake Maye,23046,QB,NE,38.28,15.88,26,119,11.0,2026-08-21,4431452.0,11564.0,40881.0,00-0039851,47.32,9.04
Emeka Egbuka,23062,WR,TB,39.7,8.1,15,64,10.0,2026-08-21,4567750.0,12514.0,,00-0040129,46.13,6.43
Jeremiyah Love,25403,RB,ARI,40.21,7.96,26,67,14.0,2026-08-21,4870808.0,13287.0,,00-0041027,20.26,-19.95
Breece Hall,22982,RB,NYJ,40.6,6.16,29,58,13.0,2026-08-21,4427366.0,8155.0,33991.0,00-0038120,32.02,-8.579999999999998
Kyren Williams,23059,RB,LAR,42.56,6.67,23,56,11.0,2026-08-21,4430737.0,8150.0,34120.0,00-0037840,43.03,0.46999999999999886
Javonte Williams,22739,RB,DAL,44.95,6.12,31,61,14.0,2026-08-21,4361579.0,7588.0,33423.0,00-0036997,37.16,-7.790000000000006
Josh Jacobs,18269,RB,GB,45.16,7.14,29,61,11.0,2026-08-21,4047365.0,5850.0,31856.0,00-0035700,35.48,-9.68
Terry McLaurin,18466,WR,WAS,45.91,6.75,28,64,7.0,2026-08-21,3121422.0,5927.0,31908.0,00-0035659,61.39,15.480000000000004
Joe Burrow,19196,QB,CIN,46.79,14.87,27,101,6.0,2026-08-21,3915511.0,6770.0,32671.0,00-0036442,59.72,12.93
Luther Burden III,27016,WR,CHI,47.46,8.91,29,69,10.0,2026-08-21,4685278.0,12519.0,,00-0040735,77.33,29.869999999999997
Travis Etienne Jr.,19231,RB,NO,49.37,8.18,33,72,8.0,2026-08-21,4239996.0,7543.0,33413.0,00-0036973,46.58,-2.789999999999999
Davante Adams,12123,WR,LAR,50.73,6.85,36,71,11.0,2026-08-21,16800.0,2133.0,27581.0,00-0031381,47.05,-3.6799999999999997
DJ Moore,17265,WR,BUF,52.75,12.39,19,107,7.0,2026-08-21,3915416.0,4983.0,30994.0,00-0034827,64.96,12.209999999999994
Mike Evans,12119,WR,SF,54.32,8.99,42,81,8.0,2026-08-21,16737.0,2216.0,27535.0,00-0031408,93.89,39.57
