#,Name,Pos,Team,STD PTS,1/2PPR PTS,PPR PTS,Cmp,Att,Pass Yds,Pass TD,Int,Rush,Rush Yds,Run TD,Tgt,Rec,Rec Yds,Rec TD
1,Josh Allen,QB,BUF,382.9,382.9,382.9,372,532,3941,27.1,11.7,128,658,13.1,0,0,0,0.0
2,Jayden Daniels,QB,WAS,333.5,333.5,333.5,347,504,3860,25.8,9.0,143,672,5.5,0,0,0,0.0
3,Jalen Hurts,QB,PHI,328.0,328.0,328.0,357,521,3819,24.4,8.3,133,538,7.6,0,0,0,0.0
4,Dak Prescott,QB,DAL,316.2,316.2,316.2,396,571,4355,29.5,9.1,70,266,3.6,0,0,0,0.0
5,Lamar Jackson,QB,BAL,311.8,311.8,311.8,347,501,3819,26.5,11.1,124,632,3.0,0,0,0,0.0
6,Drake Maye,QB,NE,309.8,309.8,309.8,370,537,3976,25.5,10.6,113,517,4.2,0,0,0,0.0
7,Patrick Mahomes,QB,KC,300.1,300.1,300.1,372,540,3969,25.2,12.5,87,490,3.3,0,0,0,0.0
8,Caleb Williams,QB,CHI,299.8,299.8,299.8,354,533,3731,26.8,8.6,92,442,3.3,0,0,0,0.0
9,Justin Herbert,QB,LAC,294.8,294.8,294.8,372,540,3820,27.6,11.6,85,440,2.8,0,0,0,0.0
10,Matthew Stafford,QB,LAR,294.3,294.3,294.3,389,566,4276,32.1,8.9,52,63,2.0,0,0,0,0.0
11,Jordan Love,QB,GB,292.1,292.1,292.1,362,526,4008,26.7,8.4,72,311,2.5,0,0,0,0.0
12,Bo Nix,QB,DEN,289.6,289.6,289.6,402,596,4144,23.6,10.8,97,416,2.1,0,0,0,0.0
13,Joe Burrow,QB,CIN,289.4,289.4,289.4,415,598,4707,29.3,12.1,45,72,1.3,0,0,0,0.0
14,Trevor Lawrence,QB,JAC,286.4,286.4,286.4,383,574,4092,25.6,15.7,90,361,3.6,0,0,0,0.0
15,Daniel Jones,QB,IND,277.3,277.3,277.3,352,519,3695,22.8,12.1,75,262,7.3,0,0,0,0.0
16,C.J. Stroud,QB,HOU,274.8,274.8,274.8,375,547,3939,23.6,12.0,81,341,2.6,0,0,0,0.0
17,Baker Mayfield,QB,TB,274.3,274.3,274.3,355,530,3875,23.8,10.0,75,431,1.8,0,0,0,0.0
